class,type,802.11u Mapping
amenity,nursing_home,"INSTITUTIONAL - LONG-TERM CARE FACILITY (E.G., NURSING HOME, HOSPICE, ETC.)"
amenity,preschool,EDUCATIONAL - SCHOOL PRIMARY
amenity,retirement_home,"INSTITUTIONAL - LONG-TERM CARE FACILITY (E.G., NURSING HOME, HOSPICE, ETC.)"
amenity,school,EDUCATIONAL - SCHOOL PRIMARY
amenity,university,EDUCATIONAL - UNIVERSITY OR COLLEGE
amenity,waste_disposal,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
amenity,post_box,BUSINESS - POST OFFICE
amenity,clinic,BUSINESS - DOCTOR OR DENTIST OFFICE
amenity,conference_centre,ASSEMBLY - CONVENTION CENTER
amenity,food_court,ASSEMBLY - RESTAURANT
amenity,social_centre,ASSEMBLY - CONVENTION CENTER
amenity,waste_basket,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
amenity,parking_entrance,OUTDOOR - TRAFFIC CONTROL
amenity,bench,OUTDOOR - CITY PARK
amenity,loading_dock,STORAGE - UNSPECIFIED STORAGE
amenity,parking_space,OUTDOOR - TRAFFIC CONTROL
amenity,bicycle_repair_station,BUSINESS - PROFESSIONAL OFFICE
amenity,toilets,OUTDOOR - REST AREA
amenity,shelter,OUTDOOR - BUS STOP
amenity,animal_boarding,BUSINESS - PROFESSIONAL OFFICE
amenity,childcare,EDUCATIONAL - SCHOOL PRIMARY
amenity,social_facility,INSTITUTIONAL - GROUP HOME
amenity,recycling,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
amenity,fountain,OUTDOOR - CITY PARK
amenity,research_institute,BUSINESS - RESEARCH AND DEVELOPMENT FACILITY
amenity,animal_shelter,INSTITUTIONAL - GROUP HOME
amenity,telephone,OUTDOOR - KIOSK
amenity,vending_machine,OUTDOOR - KIOSK
amenity,lifeguard,OUTDOOR - CITY PARK
amenity,drinking_water,OUTDOOR - REST AREA
amenity,reception_desk,BUSINESS - PROFESSIONAL OFFICE
amenity,paint,MERCANTILE - RETAIL STORE
amenity,post_depot,BUSINESS - POST OFFICE
amenity,money_transfer,BUSINESS - BANK
amenity,events_venue,ASSEMBLY - CONVENTION CENTER
amenity,prison,INSTITUTIONAL - PRISON OR JAIL
amenity,charging_station,OUTDOOR - KIOSK
amenity,shower,OUTDOOR - REST AREA
amenity,sorority,EDUCATIONAL - UNSPECIFIED EDUCATIONAL
landuse,commercial,BUSINESS - UNSPECIFIED BUSINESS
landuse,construction,FACTORY-INDUSTRIAL - UNSPECIFIED FACTORY AND INDUSTRIAL
landuse,industrial,FACTORY-INDUSTRIAL - UNSPECIFIED FACTORY AND INDUSTRIAL
aeroway,terminal,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
aeroway,aerodrome,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
aeroway,hangar,STORAGE - UNSPECIFIED STORAGE
aeroway,apron,OUTDOOR - TRAFFIC CONTROL
aeroway,holding_position,OUTDOOR - TRAFFIC CONTROL
aeroway,runway,OUTDOOR - TRAFFIC CONTROL
aeroway,windsock,OUTDOOR - TRAFFIC CONTROL
aeroway,navigationaid,OUTDOOR - TRAFFIC CONTROL
railway,platform,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
railway,signal_box,OUTDOOR - TRAFFIC CONTROL
railway,stop,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
railway,station,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
railway,junction,OUTDOOR - TRAFFIC CONTROL
railway,subway_entrance,"ASSEMBLY - PASSENGER TERMINAL (E.G., AIRPORT, BUS, FERRY, TRAIN STATION)"
railway,yard,STORAGE - UNSPECIFIED STORAGE
railway,service_station,MERCANTILE - AUTOMOTIVE SERVICE STATION
leisure,fitness_centre,ASSEMBLY - AMUSEMENT PARK
leisure,playground,OUTDOOR - CITY PARK
leisure,pitch,OUTDOOR - CITY PARK
leisure,common,OUTDOOR - CITY PARK
leisure,golf_course,OUTDOOR - CITY PARK
leisure,swimming_pool,OUTDOOR - CITY PARK
leisure,sports_centre,ASSEMBLY - ARENA
leisure,dog_park,OUTDOOR - CITY PARK
leisure,outdoor_seating,OUTDOOR - CITY PARK
leisure,marina,OUTDOOR - REST AREA
leisure,nature_reserve,OUTDOOR - CITY PARK
leisure,stadium,ASSEMBLY - STADIUM
leisure,village_green,OUTDOOR - CITY PARK
leisure,psychic,BUSINESS - PROFESSIONAL OFFICE
leisure,picnic_table,OUTDOOR - CITY PARK
leisure,disc_golf_course,OUTDOOR - CITY PARK
leisure,bowling_alley,ASSEMBLY - AMUSEMENT PARK
leisure,track,OUTDOOR - CITY PARK
leisure,recreation_ground,OUTDOOR - CITY PARK
leisure,slipway,OUTDOOR - REST AREA
leisure,ice_rink,ASSEMBLY - ARENA
leisure,water_park,ASSEMBLY - AMUSEMENT PARK
leisure,amusement_arcade,ASSEMBLY - AMUSEMENT PARK
leisure,trampoline_park,ASSEMBLY - AMUSEMENT PARK
leisure,resort,RESIDENTIAL - HOTEL OR MOTEL
leisure,swimming_area,OUTDOOR - CITY PARK
boundary,administrative,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
junction,yes,OUTDOOR - TRAFFIC CONTROL
emergency,phone,OUTDOOR - KIOSK
emergency,assembly_point,ASSEMBLY - EMERGENCY COORDINATION CENTER
emergency,lifeguard,OUTDOOR - CITY PARK
emergency,ambulance_station,BUSINESS - FIRE STATION
emergency,psap,ASSEMBLY - EMERGENCY COORDINATION CENTER
club,social,ASSEMBLY - BAR
club,religion,ASSEMBLY - PLACE OF WORSHIP
club,yes,ASSEMBLY - BAR
